"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2704_C01_001E","Estimate!!Total!!Civilian noninstitutionalized population"
"S2704_C01_001M","Margin of Error!!Total MOE!!Civilian noninstitutionalized population"
"S2704_C01_001MA","Annotation of Margin of Error!!Total MOE!!Civilian noninstitutionalized population"
"S2704_C01_001EA","Annotation of Estimate!!Total!!Civilian noninstitutionalized population"
"S2704_C01_002E","Estimate!!Total!!Medicare coverage alone or in combination"
"S2704_C01_002EA","Annotation of Estimate!!Total!!Medicare coverage alone or in combination"
"S2704_C01_002M","Margin of Error!!Total MOE!!Medicare coverage alone or in combination"
"S2704_C01_002MA","Annotation of Margin of Error!!Total MOE!!Medicare coverage alone or in combination"
"S2704_C01_003E","Estimate!!Total!!Medicare coverage alone or in combination!!Under 19"
"S2704_C01_003EA","Annotation of Estimate!!Total!!Medicare coverage alone or in combination!!Under 19"
"S2704_C01_003M","Margin of Error!!Total MOE!!Medicare coverage alone or in combination!!Under 19"
"S2704_C01_003MA","Annotation of Margin of Error!!Total MOE!!Medicare coverage alone or in combination!!Under 19"
"S2704_C01_004E","Estimate!!Total!!Medicare coverage alone or in combination!!19 to 64 years"
"S2704_C01_004M","Margin of Error!!Total MOE!!Medicare coverage alone or in combination!!19 to 64 years"
"S2704_C01_004MA","Annotation of Margin of Error!!Total MOE!!Medicare coverage alone or in combination!!19 to 64 years"
"S2704_C01_004EA","Annotation of Estimate!!Total!!Medicare coverage alone or in combination!!19 to 64 years"
"S2704_C01_005E","Estimate!!Total!!Medicare coverage alone or in combination!!65 years and over"
"S2704_C01_005EA","Annotation of Estimate!!Total!!Medicare coverage alone or in combination!!65 years and over"
"S2704_C01_005M","Margin of Error!!Total MOE!!Medicare coverage alone or in combination!!65 years and over"
"S2704_C01_005MA","Annotation of Margin of Error!!Total MOE!!Medicare coverage alone or in combination!!65 years and over"
"S2704_C01_006E","Estimate!!Total!!Medicaid/means-tested public coverage alone or in combination"
"S2704_C01_006M","Margin of Error!!Total MOE!!Medicaid/means-tested public coverage alone or in combination"
"S2704_C01_006MA","Annotation of Margin of Error!!Total MOE!!Medicaid/means-tested public coverage alone or in combination"
"S2704_C01_006EA","Annotation of Estimate!!Total!!Medicaid/means-tested public coverage alone or in combination"
"S2704_C01_007E","Estimate!!Total!!Medicaid/means-tested public coverage alone or in combination!!Under 19"
"S2704_C01_007M","Margin of Error!!Total MOE!!Medicaid/means-tested public coverage alone or in combination!!Under 19"
"S2704_C01_007MA","Annotation of Margin of Error!!Total MOE!!Medicaid/means-tested public coverage alone or in combination!!Under 19"
"S2704_C01_007EA","Annotation of Estimate!!Total!!Medicaid/means-tested public coverage alone or in combination!!Under 19"
"S2704_C01_008E","Estimate!!Total!!Medicaid/means-tested public coverage alone or in combination!!19 to 64 years"
"S2704_C01_008M","Margin of Error!!Total MOE!!Medicaid/means-tested public coverage alone or in combination!!19 to 64 years"
"S2704_C01_008MA","Annotation of Margin of Error!!Total MOE!!Medicaid/means-tested public coverage alone or in combination!!19 to 64 years"
"S2704_C01_008EA","Annotation of Estimate!!Total!!Medicaid/means-tested public coverage alone or in combination!!19 to 64 years"
"S2704_C01_009E","Estimate!!Total!!Medicaid/means-tested public coverage alone or in combination!!65 years and over"
"S2704_C01_009EA","Annotation of Estimate!!Total!!Medicaid/means-tested public coverage alone or in combination!!65 years and over"
"S2704_C01_009M","Margin of Error!!Total MOE!!Medicaid/means-tested public coverage alone or in combination!!65 years and over"
"S2704_C01_009MA","Annotation of Margin of Error!!Total MOE!!Medicaid/means-tested public coverage alone or in combination!!65 years and over"
"S2704_C01_010E","Estimate!!Total!!VA health care coverage alone or in combination"
"S2704_C01_010EA","Annotation of Estimate!!Total!!VA health care coverage alone or in combination"
"S2704_C01_010M","Margin of Error!!Total MOE!!VA health care coverage alone or in combination"
"S2704_C01_010MA","Annotation of Margin of Error!!Total MOE!!VA health care coverage alone or in combination"
"S2704_C01_011E","Estimate!!Total!!VA health care coverage alone or in combination!!Under 19"
"S2704_C01_011EA","Annotation of Estimate!!Total!!VA health care coverage alone or in combination!!Under 19"
"S2704_C01_011M","Margin of Error!!Total MOE!!VA health care coverage alone or in combination!!Under 19"
